epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.2977,3.4006497859954834,0.00027,218,7.245364189147949,0.268,0.0433,0.2049,0.205,0.8657,0.8613,0.8635,0.2212,35,33.0559,3.328,0.424,0.0,0.0,0.0,0,0.0
2,0.3147,3.524289608001709,0.00023999999999999998,436,7.040257453918457,0.2684,0.0598,0.2092,0.2091,0.8595,0.8599,0.8596,0.2363,41,36.2998,3.03,0.386,0.0,0.0,0.0,0,0.0
3,0.5099,4.273866653442383,0.00021055045871559632,654,7.021122932434082,0.2684,0.0598,0.2092,0.2091,0.8595,0.8599,0.8596,0.2363,41,32.5777,3.377,0.43,0.0,0.0,0.0,0,0.0
4,0.2802,1.8671879768371582,0.00018055045871559632,872,7.110699653625488,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,25.6037,4.296,0.547,0.0,0.0,0.0,0,0.0
5,0.2652,1.6661561727523804,0.0001505504587155963,1090,7.198688983917236,0.2622,0.0744,0.2001,0.1997,0.8634,0.8616,0.8625,0.1982,32,24.4744,4.494,0.572,0.0,0.0,0.0,0,0.0
6,0.255,1.3879905939102173,0.00012055045871559633,1308,7.171939849853516,0.2591,0.0557,0.2009,0.2012,0.859,0.8605,0.8597,0.2511,47,35.8934,3.065,0.39,0.0,0.0,0.0,0,0.0
7,0.2379,1.3950273990631104,9.055045871559632e-05,1526,7.152110576629639,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,25.6445,4.289,0.546,0.0,0.0,0.0,0,0.0
8,0.2375,1.6304895877838135,6.082568807339449e-05,1744,7.363271236419678,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,25.5858,4.299,0.547,0.0,0.0,0.0,0,0.0
9,0.219,1.9836448431015015,3.0825688073394496e-05,1962,7.4382171630859375,0.3089,0.0693,0.2341,0.2343,0.8686,0.8645,0.8665,0.2205,36,25.5991,4.297,0.547,0.0,0.0,0.0,0,0.0
10,0.2091,1.6335209608078003,8.256880733944954e-07,3270,7.548460960388184,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44,30.0854,3.656,0.465,1191.5949,7.276,0.915,6080177508999168,0.2826195183150265
