epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.1784,1.2629681825637817,2.7e-06,218,7.816429138183594,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,26.1738,4.203,0.535,0.0,0.0,0.0,0,0.0
2,0.1816,0.961816132068634,2.4000000000000003e-06,436,7.834854602813721,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44,30.6625,3.587,0.457,0.0,0.0,0.0,0,0.0
3,0.1813,1.128806710243225,2.1e-06,654,7.847121715545654,0.2677,0.0541,0.2002,0.2007,0.8757,0.864,0.8697,0.25,37,30.5744,3.598,0.458,0.0,0.0,0.0,0,0.0
4,0.1798,1.3642089366912842,1.8e-06,872,7.859786510467529,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,30.7863,3.573,0.455,0.0,0.0,0.0,0,0.0
5,0.2,1.2582601308822632,1.5e-06,1090,7.856820106506348,0.2722,0.0714,0.2029,0.2031,0.8612,0.8618,0.8615,0.2582,44,29.9575,3.672,0.467,0.0,0.0,0.0,0,0.0
6,0.2047,0.8657546639442444,1.2000000000000002e-06,1308,7.845790386199951,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,30.8294,3.568,0.454,0.0,0.0,0.0,0,0.0
7,0.2066,1.6149359941482544,9e-07,1526,7.840897560119629,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,30.494,3.607,0.459,0.0,0.0,0.0,0,0.0
8,0.2144,1.662452220916748,6.027522935779817e-07,1744,7.83819580078125,0.2646,0.0434,0.203,0.2031,0.867,0.8616,0.8642,0.2187,36,30.8089,3.57,0.454,0.0,0.0,0.0,0,0.0
9,0.2062,0.9138818979263306,3.0275229357798165e-07,1962,7.8367815017700195,0.2646,0.0434,0.203,0.2031,0.867,0.8616,0.8642,0.2187,36,30.496,3.607,0.459,0.0,0.0,0.0,0,0.0
10,0.2056,1.7484538555145264,2.7522935779816516e-09,3270,7.8362531661987305,0.3097,0.0856,0.2463,0.2464,0.8589,0.8656,0.8622,0.2246,36,30.6488,3.589,0.457,1198.8465,7.232,0.909,6080177508999168,0.19586668102019425
