epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,1.722,11.75571060180664,0.0002704147465437788,434,2.675593852996826,0.4274,0.1866,0.3588,0.3592,0.8936,0.884,0.8886,0.3527,32.95454545454545,36.1553,3.042,0.774,0.0,0.0,0.0,0,0.0
2,1.7652,6.795570373535156,0.0002406912442396313,868,2.732114791870117,0.416,0.1726,0.3511,0.3521,0.8944,0.8818,0.888,0.3352,31.59090909090909,33.4372,3.29,0.837,0.0,0.0,0.0,0,0.0
3,1.135,17.094446182250977,0.0002106912442396313,1302,2.9371540546417236,0.3752,0.1441,0.3163,0.3158,0.8968,0.8736,0.8849,0.2976,26.4,31.4475,3.498,0.89,0.0,0.0,0.0,0,0.0
4,0.9762,8.131125450134277,0.00018069124423963134,1736,3.1311209201812744,0.3959,0.1535,0.3344,0.3353,0.8893,0.8777,0.8833,0.3296,33.127272727272725,36.3855,3.023,0.77,0.0,0.0,0.0,0,0.0
5,0.7207,7.041461944580078,0.00015096774193548384,2170,3.374105930328369,0.4028,0.1562,0.3388,0.3389,0.8889,0.8818,0.8852,0.3324,34.32727272727273,35.658,3.085,0.785,0.0,0.0,0.0,0,0.0
6,0.3986,4.926091194152832,0.00012096774193548386,2604,3.450408458709717,0.4245,0.1689,0.3493,0.3501,0.892,0.8834,0.8876,0.351,34.472727272727276,39.4621,2.787,0.71,0.0,0.0,0.0,0,0.0
7,0.2471,5.1249799728393555,9.096774193548386e-05,3038,3.8316028118133545,0.4096,0.1536,0.3384,0.3389,0.8922,0.8814,0.8867,0.3376,32.79090909090909,35.5112,3.098,0.788,0.0,0.0,0.0,0,0.0
8,0.1613,2.184068441390991,6.096774193548386e-05,3472,4.243933200836182,0.4201,0.1621,0.346,0.347,0.8921,0.8815,0.8866,0.3503,33.3,35.9326,3.061,0.779,0.0,0.0,0.0,0,0.0
9,0.0989,2.888582468032837,3.0967741935483865e-05,3906,4.478381633758545,0.4115,0.1499,0.3394,0.3408,0.8904,0.8825,0.8863,0.3409,34.0,35.9831,3.057,0.778,0.0,0.0,0.0,0,0.0
10,0.0644,1.0746101140975952,9.677419354838708e-07,6510,4.748236179351807,0.4015,0.1493,0.329,0.3294,0.8894,0.8807,0.8849,0.3397,33.2,36.1968,3.039,0.774,1361.0274,6.37,1.594,5550942739046400,0.7289499836583291
