epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.332,13.985952377319336,2.7000000000000002e-05,218,2.9323315620422363,0.4383,0.1841,0.3691,0.3701,0.8915,0.8887,0.8899,0.3951,37.21818181818182,38.4745,2.859,0.364,0.0,0.0,0.0,0,0.0
2,0.3384,5.710269927978516,2.4e-05,436,3.0418994426727295,0.4611,0.2038,0.3901,0.3918,0.8941,0.8913,0.8925,0.4163,37.19090909090909,37.0743,2.967,0.378,0.0,0.0,0.0,0,0.0
3,0.2354,5.728023052215576,2.1e-05,654,3.279278039932251,0.445,0.1903,0.3776,0.3785,0.8938,0.8895,0.8915,0.394,36.45454545454545,35.6836,3.083,0.392,0.0,0.0,0.0,0,0.0
4,0.1736,8.66309642791748,1.8e-05,872,3.40929913520813,0.4545,0.2,0.3877,0.3885,0.8939,0.8921,0.8928,0.4094,38.38181818181818,37.1048,2.965,0.377,0.0,0.0,0.0,0,0.0
5,0.1406,3.3424642086029053,1.5e-05,1090,3.518325090408325,0.4634,0.2065,0.394,0.3945,0.898,0.8925,0.8951,0.4032,35.518181818181816,35.7172,3.08,0.392,0.0,0.0,0.0,0,0.0
6,0.1108,3.550122022628784,1.2e-05,1308,3.6131174564361572,0.4667,0.2075,0.3961,0.3964,0.8966,0.8936,0.8949,0.4155,37.43636363636364,36.2958,3.031,0.386,0.0,0.0,0.0,0,0.0
7,0.0906,3.752332925796509,9e-06,1526,3.693514108657837,0.4602,0.2002,0.3892,0.3903,0.8922,0.8944,0.8931,0.4116,39.6,38.9059,2.827,0.36,0.0,0.0,0.0,0,0.0
8,0.0788,2.5458004474639893,6e-06,1744,3.7280287742614746,0.4704,0.212,0.4,0.4018,0.8941,0.8955,0.8946,0.431,39.872727272727275,38.1041,2.887,0.367,0.0,0.0,0.0,0,0.0
9,0.0708,2.7803518772125244,3e-06,1962,3.760063648223877,0.468,0.2062,0.3979,0.3994,0.8953,0.8948,0.8949,0.4244,38.972727272727276,37.7062,2.917,0.371,0.0,0.0,0.0,0,0.0
10,0.0637,3.2594189643859863,0.0,3270,3.7689223289489746,0.4647,0.2065,0.3953,0.3967,0.8961,0.8941,0.895,0.4195,37.95454545454545,36.2035,3.038,0.387,1317.419,6.581,0.827,6080177508999168,0.16348204831464574
