epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1,0.0239,0.7227798700332642,5e-05,174,3.5307111740112305,0.4777,0.229,0.409,0.4106,0.8977,0.8993,0.8984,0.4382,41.054545454545455,38.1983,2.88,0.576,0.0,0.0,0.0,0,0.0
2,0.0141,0.8063588738441467,9.885057471264369e-05,348,3.666674852371216,0.4765,0.2246,0.4059,0.4075,0.9001,0.8985,0.8991,0.429,39.236363636363635,36.0809,3.049,0.61,0.0,0.0,0.0,0,0.0
3,0.027,0.3133605420589447,9.457215836526182e-05,522,3.7158291339874268,0.4704,0.219,0.3992,0.3991,0.8956,0.8967,0.896,0.4319,40.845454545454544,37.9911,2.895,0.579,0.0,0.0,0.0,0,0.0
4,0.0247,1.0799086093902588,8.9272030651341e-05,696,3.731989860534668,0.4663,0.2173,0.3945,0.3947,0.8959,0.8973,0.8965,0.4271,41.6,38.9292,2.826,0.565,0.0,0.0,0.0,0,0.0
5,0.0225,0.6685986518859863,8.371647509578544e-05,870,3.803136110305786,0.4767,0.2219,0.4017,0.4025,0.8975,0.8977,0.8975,0.4341,40.1,36.0263,3.053,0.611,0.0,0.0,0.0,0,0.0
6,0.0196,0.3291536867618561,7.81609195402299e-05,1044,3.8515923023223877,0.4703,0.2223,0.3989,0.3996,0.8958,0.8977,0.8967,0.4337,41.4,37.5536,2.929,0.586,0.0,0.0,0.0,0,0.0
7,0.0168,0.297131210565567,7.260536398467434e-05,1218,3.902791976928711,0.4747,0.227,0.4023,0.4029,0.8968,0.8987,0.8976,0.4378,41.3,37.8813,2.904,0.581,0.0,0.0,0.0,0,0.0
8,0.0165,0.10417990386486053,6.711366538952746e-05,1392,3.911555290222168,0.4676,0.2224,0.3955,0.397,0.8965,0.8974,0.8968,0.4305,41.472727272727276,38.652,2.846,0.569,0.0,0.0,0.0,0,0.0
9,0.0153,0.27674469351768494,6.155810983397191e-05,1566,3.926814079284668,0.4737,0.2288,0.4016,0.4025,0.8965,0.8984,0.8973,0.4411,41.45454545454545,37.373,2.943,0.589,0.0,0.0,0.0,0,0.0
10,0.0149,0.9850098490715027,5.6002554278416354e-05,1740,3.9513278007507324,0.48,0.2329,0.4095,0.4101,0.8989,0.8997,0.8992,0.4438,41.027272727272724,36.8395,2.986,0.597,0.0,0.0,0.0,0,0.0
11,0.0142,0.5736566781997681,5.057471264367817e-05,1914,3.9676706790924072,0.475,0.226,0.4037,0.4043,0.8949,0.8987,0.8967,0.4474,42.61818181818182,38.6333,2.847,0.569,0.0,0.0,0.0,0,0.0
12,0.0132,0.9572917819023132,4.501915708812261e-05,2088,3.976935386657715,0.4703,0.2243,0.3977,0.3986,0.8967,0.8977,0.8971,0.4359,41.018181818181816,36.46,3.017,0.603,0.0,0.0,0.0,0,0.0
13,0.0128,0.28556638956069946,3.9463601532567055e-05,2262,3.999441146850586,0.4695,0.2232,0.3987,0.3996,0.8958,0.8983,0.8969,0.4401,42.054545454545455,38.082,2.889,0.578,0.0,0.0,0.0,0,0.0
14,0.012,0.33429354429244995,3.397190293742018e-05,2436,4.001799583435059,0.471,0.2252,0.3992,0.3991,0.8963,0.8989,0.8975,0.4397,41.89090909090909,37.2976,2.949,0.59,0.0,0.0,0.0,0,0.0
15,0.0104,0.1593443751335144,2.8480204342273308e-05,2610,4.023107528686523,0.4799,0.2297,0.4066,0.4076,0.8975,0.8995,0.8984,0.446,41.60909090909091,37.2865,2.95,0.59,0.0,0.0,0.0,0,0.0
16,0.0104,0.1288646012544632,2.2924648786717752e-05,2784,4.023860454559326,0.4758,0.2309,0.4057,0.4059,0.8982,0.8994,0.8987,0.4439,41.36363636363637,37.2484,2.953,0.591,0.0,0.0,0.0,0,0.0
17,0.0094,0.23999780416488647,1.7369093231162197e-05,2958,4.027205467224121,0.4752,0.2275,0.4035,0.4045,0.8977,0.8991,0.8983,0.4404,41.64545454545455,37.4369,2.938,0.588,0.0,0.0,0.0,0,0.0
18,0.0093,0.25575709342956543,1.1877394636015327e-05,3132,4.027160167694092,0.4736,0.2264,0.4026,0.4036,0.8973,0.8988,0.8979,0.4394,41.75454545454546,37.2221,2.955,0.591,0.0,0.0,0.0,0,0.0
19,0.0098,0.4120611846446991,6.385696040868455e-06,3306,4.030688285827637,0.4736,0.2258,0.4018,0.403,0.8971,0.8984,0.8976,0.4362,41.14545454545455,37.3256,2.947,0.589,0.0,0.0,0.0,0,0.0
20,0.0084,0.2569143772125244,8.301404853128992e-07,5220,4.030458927154541,0.4716,0.2252,0.4006,0.402,0.8972,0.8983,0.8976,0.4354,41.24545454545454,37.0835,2.966,0.593,2172.104,7.983,0.801,9383662873589760,0.015266901391676102
