epoch,loss,grad_norm,learning_rate,step,eval_loss,eval_rouge/rouge1,eval_rouge/rouge2,eval_rouge/rougeL,eval_rouge/rougeLsum,eval_bertscore/bertscore-precision,eval_bertscore/bertscore-recall,eval_bertscore/bertscore-f1,eval_meteor,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9885057471264368,2.79,1.6552563905715942,5e-05,86,2.0711684226989746,0.4222,0.1746,0.3527,0.3532,0.8934,0.886,0.8895,0.3645,37.08181818181818,43.3311,2.539,0.254,0.0,0.0,0.0,0,0.0
2.0,1.9564,1.9522807598114014,9.987080103359173e-05,174,1.798850655555725,0.445,0.202,0.3739,0.3753,0.8971,0.8893,0.893,0.3978,36.154545454545456,20.6605,5.324,0.532,0.0,0.0,0.0,0,0.0
2.9885057471264367,1.7565,1.5774781703948975,9.431524547803618e-05,260,1.740820050239563,0.4648,0.2233,0.3974,0.3992,0.8987,0.8919,0.8952,0.416,36.38181818181818,20.9384,5.254,0.525,0.0,0.0,0.0,0,0.0
4.0,1.5584,1.536635398864746,8.863049095607236e-05,348,1.720986247062683,0.4529,0.2075,0.3814,0.3835,0.8969,0.8919,0.8942,0.4083,37.75454545454546,22.3549,4.921,0.492,0.0,0.0,0.0,0,0.0
4.988505747126437,1.4732,1.1733864545822144,8.30749354005168e-05,434,1.7176220417022705,0.4639,0.2163,0.3949,0.3968,0.8978,0.8942,0.8958,0.4189,38.07272727272727,21.9139,5.02,0.502,0.0,0.0,0.0,0,0.0
6.0,1.3447,1.4319080114364624,7.739018087855297e-05,522,1.7307586669921875,0.4541,0.208,0.3856,0.3877,0.8962,0.8934,0.8947,0.4111,38.86363636363637,22.4139,4.908,0.491,0.0,0.0,0.0,0,0.0
6.988505747126437,1.2905,1.3262962102890015,7.183462532299742e-05,608,1.7456337213516235,0.4584,0.2067,0.3851,0.3868,0.8975,0.8934,0.8953,0.4114,37.09090909090909,21.1363,5.204,0.52,0.0,0.0,0.0,0,0.0
8.0,1.1838,1.5881706476211548,6.61498708010336e-05,696,1.7673845291137695,0.4636,0.2164,0.3945,0.3961,0.8951,0.8969,0.8958,0.4287,41.35454545454545,23.002,4.782,0.478,0.0,0.0,0.0,0,0.0
8.988505747126437,1.1479,1.6557376384735107,6.059431524547804e-05,782,1.7793853282928467,0.4721,0.2233,0.4014,0.4037,0.8957,0.8964,0.8959,0.4378,41.25454545454546,22.8248,4.819,0.482,0.0,0.0,0.0,0,0.0
10.0,1.067,1.7567659616470337,5.490956072351422e-05,870,1.8148633241653442,0.4567,0.2127,0.3968,0.3984,0.895,0.8935,0.894,0.4188,38.91818181818182,22.1753,4.96,0.496,0.0,0.0,0.0,0,0.0
10.988505747126437,1.0456,1.7820566892623901,4.935400516795866e-05,956,1.8434207439422607,0.4585,0.208,0.3894,0.3913,0.8964,0.8936,0.8948,0.4136,37.836363636363636,21.5769,5.098,0.51,0.0,0.0,0.0,0,0.0
12.0,0.9792,1.880692958831787,4.3669250645994836e-05,1044,1.8380615711212158,0.466,0.2163,0.3976,0.3996,0.8962,0.8962,0.896,0.4272,40.345454545454544,22.2481,4.944,0.494,0.0,0.0,0.0,0,0.0
12.988505747126437,0.9618,1.8062467575073242,3.811369509043928e-05,1130,1.8834251165390015,0.4702,0.2214,0.3996,0.4023,0.8949,0.8978,0.8962,0.441,42.6,23.5244,4.676,0.468,0.0,0.0,0.0,0,0.0
14.0,0.9077,1.7406129837036133,3.242894056847545e-05,1218,1.888629674911499,0.4664,0.2221,0.4001,0.4014,0.8958,0.8969,0.8962,0.433,41.736363636363635,24.3819,4.512,0.451,0.0,0.0,0.0,0,0.0
14.988505747126437,0.9053,1.6762139797210693,2.68733850129199e-05,1304,1.908233880996704,0.4687,0.2231,0.4016,0.4043,0.8967,0.898,0.8972,0.4341,41.71818181818182,23.6084,4.659,0.466,0.0,0.0,0.0,0,0.0
16.0,0.8627,1.9240655899047852,2.1188630490956073e-05,1392,1.927093267440796,0.4564,0.2097,0.3858,0.3869,0.8939,0.8957,0.8946,0.4231,41.75454545454546,24.4608,4.497,0.45,0.0,0.0,0.0,0,0.0
16.988505747126435,0.866,1.8117941617965698,1.563307493540052e-05,1478,1.9276034832000732,0.4615,0.2129,0.3936,0.3955,0.8945,0.8971,0.8957,0.4273,42.00909090909091,24.1448,4.556,0.456,0.0,0.0,0.0,0,0.0
18.0,0.8359,1.7878575325012207,1.0077519379844961e-05,1566,1.9375646114349365,0.4644,0.2186,0.3995,0.4012,0.8947,0.8966,0.8955,0.4309,41.70909090909091,23.3723,4.706,0.471,0.0,0.0,0.0,0,0.0
18.988505747126435,0.8412,1.5661383867263794,4.521963824289406e-06,1652,1.9467380046844482,0.4691,0.2222,0.4018,0.4035,0.8959,0.898,0.8968,0.4327,41.69090909090909,23.0381,4.775,0.477,0.0,0.0,0.0,0,0.0
19.770114942528735,0.8218,1.844298243522644,2.583979328165375e-07,2580,1.947235107421875,0.4676,0.2222,0.4004,0.4024,0.8963,0.8971,0.8965,0.4301,40.845454545454544,23.2112,4.739,0.474,1885.4341,9.197,0.456,9945458640645120,1.2336155004279559
